name,category,category_id,venue_id,lat,long
Golden Palice,Chinese Restaurant,4bf58dd8d48988d145941735,4d228257756e8cfa61a97f54,45.839923999999996,-119.28985300000001
Fortune Garden,Chinese Restaurant,4bf58dd8d48988d145941735,4c55007aa724e21e669351f7,45.848954,-119.28972638
Shiki,Sushi Restaurant,4bf58dd8d48988d1d2941735,5bfb03bc3fcee8002c1098fd,45.854121,-119.288261
Kobe Hibachi Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,59855e42270ee749dac9f676,45.832834,-119.282752
Chen's Chinese Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,4c3a1cb593db0f470c962492,45.839389681501665,-119.28858465420012
Taste Of Thai,Thai Restaurant,4bf58dd8d48988d149941735,4c2e8d84452620a1e41c1c0f,45.84109,-119.292523
Pleased As Punch,BBQ Joint,4bf58dd8d48988d1df931735,5e375d7fb0791c0008541f8e,45.831910941242555,-119.29711839157333
Lorens BBQ Bonanza,BBQ Joint,4bf58dd8d48988d1df931735,4dea973a22713dd973984104,45.841253216666665,-119.29975378333333
Panaderia El Pueblo,Bakery,4bf58dd8d48988d16a941735,4e079a19b61c60b045468465,45.84023952484131,-119.29499566555023
La Espiga De Oro,Bakery,4bf58dd8d48988d16a941735,4f321c1719836c91c7b6d938,45.840256,-119.288211
Panaderia Yasmine,Bakery,4bf58dd8d48988d16a941735,4f324ed219836c91c7cae232,45.840278,-119.311057
Quality Inn Umatilla - Hermiston,Hotel,4bf58dd8d48988d1fa931735,4cc24715be40a35d83ab704c,45.921165,-119.289002
Java Junkies,Café,4bf58dd8d48988d16d941735,4deaa5af1f6e3ddebdd28e92,45.91808535726294,-119.33294043253161
Chuckwagon Cafe,Café,4bf58dd8d48988d16d941735,506b9aa1e4b06dd5bac9868c,45.88332165530675,-119.29603762180197
Mcnary Market,Deli / Bodega,4bf58dd8d48988d146941735,4efa79546da1f7b663b941ec,45.916783,-119.288177
Bellinger Farms And Gourmet Shop,Deli / Bodega,4bf58dd8d48988d146941735,4e56b7ff8877c8da38412848,45.821756,-119.268156
Red Express,Deli / Bodega,4bf58dd8d48988d146941735,4f32a21519836c91c7eac108,45.742549896240234,-119.19598388671875
Bellinger Farms,Deli / Bodega,4bf58dd8d48988d146941735,4cd85e5615d8b60c4aa5650e,45.8217658996582,-119.2680435180664
TT’s,Deli / Bodega,4bf58dd8d48988d146941735,4f41a103e4b0daed441c383b,45.91351019961154,-119.35080652870055
Walmart Bakery,Deli / Bodega,4bf58dd8d48988d146941735,5992bcc3fdb9a76e55f45fd3,45.85035522,-119.2901572
Cinnabon,Dessert Shop,4bf58dd8d48988d1d0941735,59836d3116ef675760b0e58d,45.799059,-119.235461
Fat Cat Chocolates,Dessert Shop,4bf58dd8d48988d1d0941735,4f43ebfa19836ed00191403e,45.843172,-119.290207
yo country frozen yogurt,Frozen Yogurt Shop,512e7cae91d4cbb4e5efe0af,53b49e5e498ef0074d86cbd6,45.85435485839844,-119.29093170166016
Yocountry,Ice Cream Shop,4bf58dd8d48988d1c9941735,501468d5e4b0c3d591bcc1fd,45.833666433750196,-119.28781364855875
Orange Julius,Ice Cream Shop,4bf58dd8d48988d1c9941735,508a9544b0b93324a1f07270,45.84868240356445,-119.28977966308594
The Pheasant Blue Collar Bar & Grill,Diner,4bf58dd8d48988d147941735,4c4915d59f2ad13af056d052,45.840769,-119.289506
Cross Roads,Diner,4bf58dd8d48988d147941735,4e9b679abe7bc875aae20cd5,45.91291071274623,-119.26883144206778
Plymouth Tavern,Diner,4bf58dd8d48988d147941735,4c9d4faf542b224b4513e99f,45.93601279993592,-119.35396004170669
H&P Cafe,Diner,4bf58dd8d48988d147941735,4fc51e70e4b0821fe548728e,45.742523193359375,-119.19529724121094
Taco Truck,Food Truck,4bf58dd8d48988d1cb941735,4c4b9cdf9c8d2d7fcd8c2c6b,45.91117674568032,-119.32615952182323
Tacos Xavi,Food Truck,4bf58dd8d48988d1cb941735,4e1e06a1fa76a007e318f14f,45.850575,-119.289477
Triple M Truck  Equipment,Food Truck,4bf58dd8d48988d1cb941735,569c7742498e8eb23c49e322,45.795474,-119.37364
Molinaro's Fine Italian Foods,Italian Restaurant,4bf58dd8d48988d110941735,508846d7e4b0e363063fc5b1,45.7804098,-119.2172351
Herba Life,Juice Bar,4bf58dd8d48988d112941735,4e3893616284250071b561b7,45.84074783325195,-119.2875747680664
La Palma Mexican Restaurant,Mexican Restaurant,4bf58dd8d48988d1c1941735,4c3f5d85520fa5932a7cc6ac,45.83980035748879,-119.28813456078096
Sergio's Mexican Restruant,Mexican Restaurant,4bf58dd8d48988d1c1941735,4da27a2b2939b1f7f33a0b57,45.894528333623875,-119.4968958911236
El Nopal Mexican Grill,Mexican Restaurant,4bf58dd8d48988d1c1941735,5aea1c04b8fd9d002c9a72be,45.838308,-119.310677
Mercado Los Gavilanes,Mexican Restaurant,4bf58dd8d48988d1c1941735,4d7d495d6152b60c669ba126,45.83830261230469,-119.30989837646484
Taqueria Macias,Mexican Restaurant,4bf58dd8d48988d1c1941735,4d87ede2f607a0932b86cd86,45.84067082,-119.28740356
La Carreta,Mexican Restaurant,4bf58dd8d48988d1c1941735,5758fc0e498edaddf35c625d,45.8380532,-119.3104945
Nelly's Super Tacos,Food Truck,4bf58dd8d48988d1cb941735,4cf5801766585481822cc498,45.835609880550805,-119.28743681953556
Donitas Tacos,Taco Place,4bf58dd8d48988d151941735,59b6e0b5a6ec9849b306711b,45.917519,-119.342194
novedades luz,Taco Place,4bf58dd8d48988d151941735,5249f8a511d231c864785fe5,45.918174743652344,-119.33576202392578
Alive & Well,Deli / Bodega,4bf58dd8d48988d146941735,4cd4370104c2236a1eb3d1c7,45.859941,-119.289437
McDonald's,Restaurant,4bf58dd8d48988d1c4941735,4bdf76af0d69b713171e66d3,45.84977641947056,-119.28955614566803
Denny's,Breakfast Spot,4bf58dd8d48988d143941735,4b71ba3af964a520c7582de3,45.818447901847186,-119.2620299756527
Ixtapa Mexican,Mexican Restaurant,4bf58dd8d48988d1c1941735,4dbb730c815439392f902f1f,45.85451978682911,-119.28914333717286
Shari's Cafe and Pies,American Restaurant,4bf58dd8d48988d14e941735,4c0da9ba7189c928fe6dd7b6,45.834251,-119.286902
Papa Murphy's,Pizza Place,4bf58dd8d48988d1ca941735,4c733b577121a1cde5d864d1,45.838201397735574,-119.28803303844863
Panda Inn,Chinese Restaurant,4bf58dd8d48988d145941735,4cdcb58ea1bba35d823f9ce5,45.84551956666667,-119.29067393333334
McDonald's,Restaurant,4bf58dd8d48988d1c4941735,4b6f2445f964a520dbdf2ce3,45.76582029687578,-119.20571029186249
Obies Coffee,Breakfast Spot,4bf58dd8d48988d143941735,4d4ebfb8122b5481d86e884f,45.83680771666667,-119.28849
Hale's Tavern,American Restaurant,4bf58dd8d48988d14e941735,4c5f5dfd1e5cd13a29849fed,45.840275,-119.28948000000001
Ye Olde Pizza Shoppe,Pizza Place,4bf58dd8d48988d1ca941735,4d966f67b188721efb48f736,45.846241,-119.29106100000001
Little Caesars Pizza,Pizza Place,4bf58dd8d48988d1ca941735,52f543e011d242eeca9affcc,45.84492111206055,-119.28955078125
Walker's Farm Kitchen,American Restaurant,4bf58dd8d48988d14e941735,51eb56f0498e1965d412cd9f,45.83390360623525,-119.28548017894926
El Tapatio,Mexican Restaurant,4bf58dd8d48988d1c1941735,4cd61df8a5b34688184c9250,45.849427,-119.28976100000001
Domino's Pizza,Restaurant,4bf58dd8d48988d1c4941735,4cdb98193f6a8cfaa240ecea,45.835435589170515,-119.28995713591576
Pizza Hut,Restaurant,4bf58dd8d48988d1c4941735,4c5ffecb3a3703bb0617e406,45.84835464686187,-119.29063707590103
G And J Dairy Freeze,American Restaurant,4bf58dd8d48988d14e941735,4e39987ca809d73012e7dbca,45.917792,-119.340698
