name,category,category_id,venue_id,lat,long
"MacKenzie River Pizza, Grill & Pub",African Restaurant,4bf58dd8d48988d1c8941735,5bec66e3a2c00b736673d73f,42.90830612182617,-112.46231079101562
Chalk Horse Lounge & Billards,American Restaurant,4bf58dd8d48988d14e941735,4bc92a9c937ca5932672a592,42.87083616872278,-112.44878144118826
Pretzelmaker,American Restaurant,4bf58dd8d48988d14e941735,4cdafdf18ec69eb02209a6e9,42.90896833240236,-112.4694065519368
Gillies Food Stop,American Restaurant,4bf58dd8d48988d14e941735,59244f5c4940bc0525bc8037,42.908725866419836,-112.4697983264923
Deka Gahni,American Restaurant,4bf58dd8d48988d14e941735,5138e280e4b0ccb4cd5f0a3c,43.024752,-112.411276
The Yellowstone Restaurant and Lounge,New American Restaurant,4bf58dd8d48988d157941735,5bc646aeacb37f0038aaf919,42.8609,-112.44875
The Bridge,New American Restaurant,4bf58dd8d48988d157941735,58801af6ea29b80cdc0f6012,42.860366,-112.449537
"MacKenzie River Pizza, Grill & Pub",New American Restaurant,4bf58dd8d48988d157941735,5ec6c8dfb2e84300072f155d,42.9079349,-112.4638984
Fire & Rice,Asian Restaurant,4bf58dd8d48988d142941735,4dee597531516bf7a047b244,42.86327289085331,-112.43159294128418
New Hong Kong Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,4db880c18154ce84dc14659c,42.86662082902989,-112.44392037544438
Chang's Garden,Chinese Restaurant,4bf58dd8d48988d145941735,4c1be55763750f47cca7b567,42.89333959987821,-112.44218414247644
Chopstick Cafe,Chinese Restaurant,4bf58dd8d48988d145941735,4d1a3992b15cb1f738b3c821,42.8610786788766,-112.4491579264657
Mings,Chinese Restaurant,4bf58dd8d48988d145941735,4ce321857e9b721e72d434f1,42.871490120887756,-112.44867861270905
Lei's Mongolian B-B-Q,Chinese Restaurant,4bf58dd8d48988d145941735,4bc783516501c9b626933e29,42.917648,-112.465332
Mandalay Express,Chinese Restaurant,4bf58dd8d48988d145941735,4f4e8ef0d5fbd84c3ef2e122,42.86042605267216,-112.4326229095459
Filipino cuisine,Filipino Restaurant,4eb1bd1c3b7b55596b4a748f,58437f32e110955af0da5838,42.883548736572266,-112.4517822265625
Fuji Japanese Steak House,Japanese Restaurant,4bf58dd8d48988d111941735,5773af29498eba70b2b6591f,42.91185760498047,-112.46522521972656
yoshida,Japanese Restaurant,4bf58dd8d48988d111941735,538f8296498ee105374ab766,42.861384,-112.449322
Yoshida,Japanese Curry Restaurant,55a59bace4b013909087cb30,5676fff2498e0470051e99a8,42.90944,-112.469894
All You Can Eat Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,4f0c87bbe4b0dec025376b8a,42.8825798034668,-112.45167541503906
Kowloon Express,Asian Restaurant,4bf58dd8d48988d142941735,4d13df98e190721e62a50221,42.86364547577642,-112.44149867413341
Gin Sen,Thai Restaurant,4bf58dd8d48988d149941735,5c798ba50e5da80039031bb5,42.865892,-112.444262
Thai Zap,Thai Restaurant,4bf58dd8d48988d149941735,5e34b7eb32cdc20008ec696e,42.883431,-112.451703
Great Wall Express,Chinese Restaurant,4bf58dd8d48988d145941735,4cc5d52c3d7fa1cd8610b45f,42.90537181942658,-112.45277908773794
G-UNITS,BBQ Joint,4bf58dd8d48988d1df931735,4d8d2af15091a1cdba0f7201,42.875503,-112.440721
Frankz Bakery Outlet,Bakery,4bf58dd8d48988d16a941735,5c3f8d0c464d650039c6e576,42.89051,-112.46656
Crumbl,Bakery,4bf58dd8d48988d16a941735,5d326e4c1eef220008bd2887,42.904338,-112.452697
5th Street Baglery,Bagel Shop,4bf58dd8d48988d179941735,4dfba3a3d4c01451df596705,42.862815856933594,-112.43965911865234
Hampton Inn Breakfast Nook,Breakfast Spot,4bf58dd8d48988d143941735,5124da62e4b026d483d3cf7d,42.87838849728305,-112.42419557648869
Sandbaggers,Bar,4bf58dd8d48988d116941735,4ccde79c566aa09307722afd,42.88036848677929,-112.45120256367545
Central Park Burgers,Burger Joint,4bf58dd8d48988d16c941735,4bc8aaf3ab62d13a3cbf17d4,42.883721285218584,-112.45119790523061
Grillnation,Burger Joint,4bf58dd8d48988d16c941735,4f4e90e0d5fbd84c3ef316e7,42.86047323890519,-112.43264436721802
Portneuf grill,Café,4bf58dd8d48988d16d941735,51b72f99498e156dd144d030,42.87367630004883,-112.4217758178711
Treasure Valley Coffee Of Eastern Idaho,Café,4bf58dd8d48988d16d941735,5b803203c9a5170039158519,42.887699127197266,-112.47368621826172
