name,category,category_id,venue_id,lat,long
Snowy Blue Balls Palace,Afghan Restaurant,503288ae91d4c4b30a586d67,54850bff498e11594ca7b31e,45.017501,-123.016162
Silver Grille,American Restaurant,4bf58dd8d48988d14e941735,4c43aa4fdd1f2d7fe0e27ef9,45.005093,-122.78245600000001
The Gathering Spot,American Restaurant,4bf58dd8d48988d14e941735,4d52fa877ee1a35d14ce9f34,45.00596482700519,-122.78216240875916
Harvest Grille @ Silverton Hospital,American Restaurant,4bf58dd8d48988d14e941735,4eb73958469073bbc6ecb299,45.00473555318321,-122.79004613721979
Arby's,American Restaurant,4bf58dd8d48988d14e941735,4b1acbc9f964a520fdf123e3,44.9430199,-122.9830394
Arby's,American Restaurant,4bf58dd8d48988d14e941735,4bafb0e0f964a52008183ce3,44.8833066884565,-123.030418977141
Carl's Jr.,American Restaurant,4bf58dd8d48988d14e941735,4bb019edf964a52016373ce3,44.87725818535296,-123.02683176219227
kolby's,American Restaurant,4bf58dd8d48988d14e941735,5019ad65e4b0458deebcf94c,44.981790999999994,-123.02516100000001
Arby's,American Restaurant,4bf58dd8d48988d14e941735,4b7d9feff964a52096ca2fe3,44.9900663,-123.026233
Salem Center Food Court,American Restaurant,4bf58dd8d48988d14e941735,50d24be9e4b0126215e9180d,44.94294937270946,-123.03694979023236
Magoo's,American Restaurant,4bf58dd8d48988d14e941735,4abd9d61f964a520288b20e3,44.938758391071296,-123.04156277317898
Almost Home Restaurant,American Restaurant,4bf58dd8d48988d14e941735,4ce8274bd99f721e10b9ae73,44.9500671084313,-122.99385225544692
Better Than Mama's,American Restaurant,4bf58dd8d48988d14e941735,5484cab3498e6ba0cc908e73,44.95237268830556,-123.03033724739092
Iggy's Cafe,American Restaurant,4bf58dd8d48988d14e941735,5201157a498e5f88a7072189,44.93974,-123.017228
Don's Restaurant,American Restaurant,4bf58dd8d48988d14e941735,4c77e4d1765d8cfa82230637,44.92796564,-123.03019042
Rockin Rodgers,American Restaurant,4bf58dd8d48988d14e941735,4efb7b8ed3e354f0c0c5599f,44.93097529267375,-123.11217548559185
Ventorlin Inhaler,American Restaurant,4bf58dd8d48988d14e941735,5d1308985a12fe0023c31dfa,44.94805712974905,-123.00129354000092
urban alley,American Restaurant,4bf58dd8d48988d14e941735,56675855498e41c574d9072b,44.941853,-123.038747
Lil's Cupcake Cafe,American Restaurant,4bf58dd8d48988d14e941735,4e20a2b8b0fbdf9ba7a18a73,44.938907,-123.037645
Honey Baked Ham,American Restaurant,4bf58dd8d48988d14e941735,4d6c1e7b9c533704d13d37fa,44.9424043082501,-123.03710387709948
Shari's,American Restaurant,4bf58dd8d48988d14e941735,4dd45703d22d8e00fcc7d845,44.99561953794359,-123.04910090299019
Blooming Cuisine,Chinese Restaurant,4bf58dd8d48988d145941735,4d795a000ceba1cd5704b058,44.981367999999996,-123.02700700000001
Chan's Chinese Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,4df56f1ae4cda09e6da9d6c7,45.005093,-122.78245600000001
Chang's Mongolian Grill,Asian Restaurant,4bf58dd8d48988d142941735,4b79b31cf964a520090c2fe3,44.93942762869134,-122.98543022355089
Blue Willow,Chinese Restaurant,4bf58dd8d48988d145941735,4c60c778cd522d7fe521cf3f,44.9534445438646,-122.98413758207037
Best Teriyaki,Asian Restaurant,4bf58dd8d48988d142941735,4bf970964a67c928aad926cf,44.947679,-122.98342199999999
asian spice,Chinese Restaurant,4bf58dd8d48988d145941735,50b96c12e4b04809bce7babc,44.915728,-122.977197
Chinn's Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,4d27d13f888af04d5103c0af,44.884963,-123.03262
Eng's Restaurant & Banquet,Chinese Restaurant,4bf58dd8d48988d145941735,4d82ac3af1e56ea8180e528a,44.88682152,-123.034434
Hainan Orchid,Asian Restaurant,4bf58dd8d48988d142941735,4bdb70212a3a0f47981cafb6,44.939359,-123.038625
Sing Fay,Chinese Restaurant,4bf58dd8d48988d145941735,4bde190d6198c9b65eff12ff,44.8486354,-123.23721936666666
Happy Jing,Chinese Restaurant,4bf58dd8d48988d145941735,5a013b9661e53b47f1ead73e,44.998305,-122.979895
John's Chinese,Chinese Restaurant,4bf58dd8d48988d145941735,4cae7c03aef16dcb0b43a154,44.99384902098612,-123.0261686214858
Chan's,Chinese Restaurant,4bf58dd8d48988d145941735,4c3e56ef0596c9289f348478,44.958531,-123.016654
Love Love Teriyaki II,Asian Restaurant,4bf58dd8d48988d142941735,4efa28b661af454600b300bd,44.94216878031113,-123.03594437195572
Tong King,Asian Restaurant,4bf58dd8d48988d142941735,4bc12ab2920eb713f6641a2c,44.92794895,-123.030646
Fresh Elements,Asian Restaurant,4bf58dd8d48988d142941735,51621219e4b08c9679db4372,44.94345618692312,-123.03791894491965
Rainbow Chinese Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,4e85187df5b9343141de719d,44.93947982788086,-123.03829956054688
House of Dragon,Chinese Restaurant,4bf58dd8d48988d145941735,4c363191ae2da593dac1fcc5,44.96750029555181,-122.98374652862549
Oishi Asian cafe,Asian Restaurant,4bf58dd8d48988d142941735,551ee4c1498ebcff82db0aaa,44.924223,-123.014736
Dim Sum,Dim Sum Restaurant,4bf58dd8d48988d1f5931735,54de9801498ee1b4cf960d39,44.98133421316879,-123.0266003278984
Yan Yan,Chinese Restaurant,4bf58dd8d48988d145941735,51257520e4b09663e5a56fde,44.967438,-122.98388999999999
Adobo Republic,Filipino Restaurant,4eb1bd1c3b7b55596b4a748f,50dd52e4e4b0738a431b314d,45.011573,-122.99678
Teriyaki Bento,Japanese Restaurant,4bf58dd8d48988d111941735,51b660a0498efeebaf43abbc,44.96182967838607,-123.02892264214915
BON JAPAN 86,Japanese Restaurant,4bf58dd8d48988d111941735,5850593bfad9dc1123f13313,44.928,-123.030252
Teriyaki Diner,Japanese Restaurant,4bf58dd8d48988d111941735,4c7ff28cd92ea09395643372,44.919886,-123.01081299999998
Love Love Teriyaki Dallas Oregon,Japanese Restaurant,4bf58dd8d48988d111941735,5b05e29da795bd0039ccdfbb,44.92572,-123.315549
Sushi To Go,Japanese Restaurant,4bf58dd8d48988d111941735,4d2618d073913704ed39fd35,44.880998999999996,-123.029214
Sushi Ya Sushi,Japanese Restaurant,4bf58dd8d48988d111941735,4d0186a4f94a6dcb406efa43,44.943619,-123.036033
Miyama Concepts,Sushi Restaurant,4bf58dd8d48988d1d2941735,4bf1dc2f99d02d7fe5a8c948,44.848060607910156,-123.23101043701172
Manna Japanese Comfort Food,Japanese Curry Restaurant,55a59bace4b013909087cb30,5dd88bc729a4fe0008eb2e13,44.885111,-123.032596
Ibendoo Ramen,Ramen Restaurant,55a59bace4b013909087cb24,5cdf6b831c0b3400391de3f3,44.906139,-123.043432
yummy dumpling,Chinese Restaurant,4bf58dd8d48988d145941735,56ec75a1cd10ea895770f27b,44.941064596508525,-123.03869614876047
Momiji Sushi Bar & Restaurant,Sushi Restaurant,4bf58dd8d48988d1d2941735,5adff2d10f013c458b423f11,44.940497,-123.058921
Momiji sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,58b480685804ea3b2a3e5077,44.848411,-123.237162
Kyoto,Asian Restaurant,4bf58dd8d48988d142941735,4d69a1649bd6a1430c6962df,44.94901743180377,-122.98283612838694
J's Teriyaki Sushi Roll,Sushi Restaurant,4bf58dd8d48988d1d2941735,4dfd14caaeb7594e86227348,44.93801663333333,-122.98366478333334
Sushi Takara,Sushi Restaurant,4bf58dd8d48988d1d2941735,5472c6c2498e94529d60c802,44.95343780517578,-122.98208618164062
Cherry's Nagani,Sushi Restaurant,4bf58dd8d48988d1d2941735,4d3277b22c76a143967e71c7,44.995052,-123.026008
Sushi Kyo,Sushi Restaurant,4bf58dd8d48988d1d2941735,4b65f788f964a520860b2be3,44.88613844022996,-123.03339182251483
Teriyaki Town Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,4b9a9567f964a52091c335e3,44.982105594318256,-123.02467673578234
Momiji,Sushi Restaurant,4bf58dd8d48988d1d2941735,4bf3229cd2fbef3b1997a4c5,44.913210116377314,-123.04472217382568
Sansei Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,4c29530c97d00f473c5741ea,44.96848166287408,-122.98253182406054
O Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,4b70795ff964a520a81c2de3,44.93939579062172,-123.03697987241694
Yami Teriyaki and Sushi Roll,Sushi Restaurant,4bf58dd8d48988d1d2941735,4f32af2119836c91c7efa08c,44.923644,-123.31671
SushiKyo,Sushi Restaurant,4bf58dd8d48988d1d2941735,4dfc081cb0fb84d7acdefe5f,44.91590080971112,-122.98056192056798
Tiga,Sushi Restaurant,4bf58dd8d48988d1d2941735,53096480498effe2b2a22e07,44.938611,-123.039006
503 Sushi Bar,Sushi Restaurant,4bf58dd8d48988d1d2941735,56070bd3498ed26b5210be68,44.940649,-123.03901699999999
Smile BBQ,Korean Restaurant,4bf58dd8d48988d113941735,4d37a250e6bdf04d97f15cb4,44.94125624662171,-123.03382407451056
Red Chopsticks,Korean Restaurant,4bf58dd8d48988d113941735,512c341ae4b04a7a2c51f148,44.925954,-123.315345
Golden Tent Mongolian Bar B-Q,Asian Restaurant,4bf58dd8d48988d142941735,4bd8e14e2e6f0f47b60e0908,44.89298629760742,-123.03496551513672
Love Love Teriyaki II,Asian Restaurant,4bf58dd8d48988d142941735,4b455d77f964a520670b26e3,44.969983682929126,-123.02991418237168
Changs Udon,Noodle House,4bf58dd8d48988d1d1941735,585ccebdfd27163c5260c359,44.902627,-123.058761
Thi Noodles,Noodle House,4bf58dd8d48988d1d1941735,585cd4309398ab0830ee0793,44.90335,-123.057118
Thai Lotus,Thai Restaurant,4bf58dd8d48988d149941735,4b7b49b6f964a5209a5c2fe3,44.98221358469501,-123.02469647526655
Bangkok Thai Bistro,Thai Restaurant,4bf58dd8d48988d149941735,5e5819c3e86a8f00083d6f4f,44.88559341430664,-123.03181457519531
Thai Cuisine Of Salem,Thai Restaurant,4bf58dd8d48988d149941735,5af0eb645a2c9100399fed93,44.913357,-123.044655
Bai Bua Thai Kitchen,Thai Restaurant,4bf58dd8d48988d149941735,5d07050d2081a20023329d94,44.9995002746582,-123.02745056152344
Thai Fusion,Thai Restaurant,4bf58dd8d48988d149941735,4b747347f964a5206fdd2de3,44.9078804420134,-123.04318946513517
Pho Keizer,Vietnamese Restaurant,4bf58dd8d48988d14a941735,5c4bb54a59c423002cdf3db0,44.975051,-123.027074
Simply Pho,Vietnamese Restaurant,4bf58dd8d48988d14a941735,5b402d4eca18ea002c16bd68,44.906261,-123.043922
Wooden Nickel Pub & Eatery,Restaurant,4bf58dd8d48988d1c4941735,4cfb32097945224b490285e7,44.83025538567047,-122.79423702662162
BG's Bar-B-Que,BBQ Joint,4bf58dd8d48988d1df931735,57778fc5498e0c728da54263,44.84752250776678,-123.2290082883606
Golden Crown,Chinese Restaurant,4bf58dd8d48988d145941735,4beda1013372c92832ee1114,44.942817,-123.03793999999999
China Gourmet,Chinese Restaurant,4bf58dd8d48988d145941735,5067c2d9e4b0fbec5706bfe4,44.952889823345814,-123.03065653793679
Adam's Rib Smokehouse - North Liberty,BBQ Joint,4bf58dd8d48988d1df931735,5ac667180c9f31405e286fb6,44.96576958192208,-123.03321719169615
Cindy Lou's BBQ,BBQ Joint,4bf58dd8d48988d1df931735,56aaa058498e7322589f097d,44.87223815917969,-123.02526092529297
Big Daves Sample This Barbeque and Catering,BBQ Joint,4bf58dd8d48988d1df931735,5393ced7498e574c69c04668,44.9162397991166,-123.01990977746853
Rolling Bagels,Bagel Shop,4bf58dd8d48988d179941735,4c7558c1b474a1cd1dffb8bf,44.951642,-122.981899
WinCo Foods,Supermarket,52f2ab2ebcbc57f1066b8b46,4b5cd1c1f964a520a14529e3,44.88789552294425,-123.034985241837
Baskin-Robbins,Bakery,4bf58dd8d48988d16a941735,4e4e4547bd4101d0d7a67b47,44.942218,-122.985794
Baskin-Robbins,Bakery,4bf58dd8d48988d16a941735,4c5dcc0d857ca593bff9cdcb,44.98425739116228,-123.02627289657295
Franz Family Bakeries,Bakery,4bf58dd8d48988d16a941735,4f322ea319836c91c7be38fa,44.97392,-123.01689
Emilio's bakery,Bakery,4bf58dd8d48988d16a941735,505a9a85e4b0ab68d29c4613,44.92842,-122.98429
Bakery Outlet,Bakery,4bf58dd8d48988d16a941735,4cd442e008f48cfa0190a585,44.968046,-122.99195291666666
Amity Bakery And Cafe,Bakery,4bf58dd8d48988d16a941735,5cba2e35336273002b993f33,45.115877,-123.206413
