name,category,category_id,venue_id,lat,long
Zips,American Restaurant,4bf58dd8d48988d14e941735,4bd0a03a046076b0c65b7071,47.7158604056503,-117.43558350721175
Long John Silvers,American Restaurant,4bf58dd8d48988d14e941735,4db877c26e81c67f61cea1be,47.695196833333334,-117.41080445
Vintage Washington,American Restaurant,4bf58dd8d48988d14e941735,5366924c498ec985080e00f0,47.639576,-117.485626
Vin Rouge,American Restaurant,4bf58dd8d48988d14e941735,4bdde897ffdec92876eae6a1,47.62847815723799,-117.36615666544378
A&W,American Restaurant,4bf58dd8d48988d14e941735,4fe80592e4b050dddf258fbb,47.64252325897934,-117.57651577923549
Zips Drive In,American Restaurant,4bf58dd8d48988d14e941735,4e0e79cbd164fff335ac44a5,47.675665690706964,-117.42762604699381
Windows Restaurant,American Restaurant,4bf58dd8d48988d14e941735,4c2f62277cc0c9b67b91eb9a,47.66386078311231,-117.41629817832982
The Grand Restaurant,American Restaurant,4bf58dd8d48988d14e941735,57e65a39498eebbe1fe5ee45,47.659669187082,-117.41702488050572
Hunt Spokane,American Restaurant,4bf58dd8d48988d14e941735,5e554039104a99000806aadc,47.657795,-117.414665
Lobby Fireside At The Davenport,American Restaurant,4bf58dd8d48988d14e941735,4d57057de7f1a1cdd4560ea5,47.656864,-117.42448327
Shutters Cafe - DoubleTree Hotel,American Restaurant,4bf58dd8d48988d14e941735,4e26e7b4d16486291ba485d1,47.66087379026756,-117.41408705705103
Park Place Lounge,American Restaurant,4bf58dd8d48988d14e941735,4bbbf03eafe1b713fcee2f4b,47.66429901123047,-117.41604614257812
Jenny's Diner,American Restaurant,4bf58dd8d48988d14e941735,4da090663edff04d58e24399,47.65453395916087,-117.43317939305612
One 14,American Restaurant,4bf58dd8d48988d14e941735,4bf58f3e4d5f20a1c6a797fe,47.57276556,-117.68174908
Arby's,American Restaurant,4bf58dd8d48988d14e941735,4f4d3ee2e4b04c96fa63178c,47.64380962709777,-117.61212634473395
Three Peaks Restaurant,American Restaurant,4bf58dd8d48988d14e941735,5b52aa404aa3f8002c3ae4fc,47.64476,-117.609318
Miso,Asian Restaurant,4bf58dd8d48988d142941735,512ff46de4b0ee8b20587154,47.702543797221665,-117.40935087556495
Thai Lunchbox,Asian Restaurant,4bf58dd8d48988d142941735,51d1c6ec498ed8dfd27b7703,47.6470958504824,-117.40352188287262
Vien Dong,Asian Restaurant,4bf58dd8d48988d142941735,51b8c8b8498e4e154914845e,47.654105,-117.411042
Kochi Teriyaki,Asian Restaurant,4bf58dd8d48988d142941735,4f320c2c19833175d60b43fa,47.65687772363258,-117.41558154057338
Fai's Noodle House,Asian Restaurant,4bf58dd8d48988d142941735,4b6c92abf964a5200c442ce3,47.65929445084967,-117.56268655402009
China Buffet,Chinese Restaurant,4bf58dd8d48988d145941735,4c193883834e2d7f850f2a80,47.498191833496094,-117.56285095214844
Hong Kong Resturant,Chinese Restaurant,4bf58dd8d48988d145941735,4e484b93b61c03d0cd253de8,47.64318211356213,-117.59886197503543
Chinese Gardens Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,5ed0f12ff3be7d00087f25ff,47.491985,-117.570159
D’ Bali,Indonesian Restaurant,4deefc054765f83613cdba6f,5cb165c3475abd0039337400,47.643105,-117.589799
Baek Chun Sushi Yama,Japanese Restaurant,4bf58dd8d48988d111941735,4c844904d4e23704aa257988,47.643202,-117.591781
Sushiyama,Sushi Restaurant,4bf58dd8d48988d1d2941735,4ca3979ab0ff8cfa38aab85e,47.64306,-117.591854
Copper Hana,Sushi Restaurant,4bf58dd8d48988d1d2941735,57854a7c498e2839d4b4ce78,47.486473083496094,-117.57598876953125
Einstein Bros. Bagels,Bagel Shop,4bf58dd8d48988d179941735,585987f52ec36435f862ce19,47.491297383231604,-117.58135244250292
McDonald's,Breakfast Spot,4bf58dd8d48988d143941735,4bf04ef351f2c9b6fe78f192,47.65319569531701,-117.42056473041885
Quality Inn Downtown 4th Avenue,Hotel,4bf58dd8d48988d1fa931735,4bc3c634dce4eee14fbf719d,47.6517684,-117.4100822
Dolly's Cafe,Breakfast Spot,4bf58dd8d48988d143941735,4c0a96b16071a59318d2df32,47.6747720158084,-117.41755252306426
Jack in the Box,Burger Joint,4bf58dd8d48988d16c941735,4bbe320db42aef3b68924bc3,47.6569297,-117.3472803
Wendy’s,Burger Joint,4bf58dd8d48988d16c941735,4bfecd3868c7a59309b63f44,47.6131629184634,-117.36776411533356
Zip's Drive-In,Burger Joint,4bf58dd8d48988d16c941735,4babc6c2f964a520a4c83ae3,47.49042545751536,-117.57116863862687
Ripples Riverside Grill,American Restaurant,4bf58dd8d48988d14e941735,4be36117b02ec9b6dd754fc0,47.66361787159762,-117.4103516606525
Jack in the Box,Burger Joint,4bf58dd8d48988d16c941735,4bc75d09af07a59397097f2d,47.6435247,-117.555657
Jack in the Box,Burger Joint,4bf58dd8d48988d16c941735,4bc8b5ba92b376b06e03523a,47.653230955750125,-117.41996258497238
9th St Bistro,Restaurant,4bf58dd8d48988d1c4941735,4d890f2d3acc6dcb3a72151c,47.64653909300992,-117.42674921922337
Illinois Ave,Bar,4bf58dd8d48988d116941735,4c8e6e10daa93704089e4cb1,47.678189,-117.38958799999999
Jack in the Box,Burger Joint,4bf58dd8d48988d16c941735,4c5a149c67ac0f473301064c,47.750938526165825,-117.41158738732338
Wendy’s,Burger Joint,4bf58dd8d48988d16c941735,4bd8dc66e914a59375e554fa,47.74080155304848,-117.40958511829376
Jack in the Box,Burger Joint,4bf58dd8d48988d16c941735,4b6b28b8f964a52097f62be3,47.68354893536209,-117.41073310375214
Jack & Dan's Bar and Grill,Bar,4bf58dd8d48988d116941735,4b7e18cdf964a520a2e22fe3,47.66941336687304,-117.3964252724221
Durkin's Liquor Bar,Bar,4bf58dd8d48988d116941735,5475080e498e3f576f991588,47.658927870939024,-117.41865098389398
PUB CAFETERIA,College Cafeteria,4bf58dd8d48988d1a1941735,4eb1848c9911c46a6a58fee9,47.49241044454477,-117.58391700787612
Lakefront Cafe,Café,4bf58dd8d48988d16d941735,5a884ff8e1f0aa07a18a6b22,47.554528,-117.658791
Barnes & Noble Cafe,Café,4bf58dd8d48988d16d941735,5354260c11d2e8996ac0b089,47.70102130810889,-117.41068219618046
Buzz By Espresso,Café,4bf58dd8d48988d16d941735,4c44b539dd1f2d7f733c80f9,47.737016,-117.41235800000001
Moose Crossing Cafe,Café,4bf58dd8d48988d16d941735,4d4083c1aae1b1f7e19e87f5,47.701669,-117.395951
Dutch Bros Coffee,Café,4bf58dd8d48988d16d941735,5e0ed69ff8a01c000891e478,47.641653811781175,-117.55236371629303
