matchYear,matchID,leftTeam,leftScore,rightTeam,rightScore,refName,leftPenalties,rightPenalties
2009,601,Highlanders,31,Brumbies,33,Matt Goddard,17,18
2009,602,Force,19,Blues,25,Bryce Lawrence,19,8
2009,603,Lions,34,Cheetahs,28,Craig Joubert,14,11
2009,604,Crusaders,19,Chiefs,13,Chris Pollock,12,13
2009,605,Hurricanes,22,NSW Waratahs,26,Stuart Dickinson,5,20
2009,606,Stormers,15,Sharks,20,Mark Lawrence,19,18
2009,607,Bulls,33,Reds,20,Marius Jonker,13,9
2009,608,Hurricanes,22,Highlanders,17,Keith Brown,8,9
2009,609,NSW Waratahs,11,Chiefs,7,Stuart Dickinson,15,13
2009,610,Force,16,Cheetahs,10,James Leckie,20,22
2009,611,Stormers,27,Reds,24,Chris Pollock,12,12
2009,612,Brumbies,18,Crusaders,16,Bryce Lawrence,9,18
2009,613,Bulls,59,Blues,26,Mark Lawrence,12,16
2009,614,Sharks,25,Lions,10,Jonathan Kaplan,3,6
2009,615,Crusaders,24,Hurricanes,30,Stuart Dickinson,6,4
2009,616,NSW Waratahs,34,Highlanders,16,James Leckie,15,15
2009,617,Chiefs,15,Sharks,22,Bryce Lawrence,7,14
2009,618,Brumbies,16,Force,25,Matt Goddard,13,17
2009,619,Lions,9,Bulls,16,Phillip Anthony Bosch,13,17
2009,620,Stormers,8,Blues,14,Marius Jonker,9,7
2009,621,Reds,22,Cheetahs,3,Ian Smith,11,16
2009,622,Chiefs,31,Force,13,Matt Goddard,13,12
2009,623,NSW Waratahs,15,Reds,11,Bryce Lawrence,12,9
2009,624,Hurricanes,29,Cheetahs,12,Paul Marks,13,12
2009,625,Blues,31,Sharks,35,Marius Jonker,9,13
2009,626,Highlanders,6,Crusaders,0,Ian Smith,15,15
2009,627,Bulls,14,Stormers,10,Craig Joubert,12,12
2009,628,Blues,46,Cheetahs,12,Keith Brown,6,4
2009,630,Crusaders,23,Force,23,Marius Jonker,13,11
2009,631,Highlanders,10,Chiefs,14,Matt Goddard,13,13
2009,632,Reds,25,Sharks,13,James Leckie,9,10
2009,633,Stormers,56,Lions,18,Craig Joubert,13,8
2009,634,Hurricanes,14,Bulls,19,Matt Goddard,16,8
2009,635,Highlanders,32,Cheetahs,8,Paul Marks,11,18
2009,636,Chiefs,63,Blues,34,Mark Lawrence,16,5
2009,637,NSW Waratahs,13,Crusaders,17,Chris Pollock,9,17
2009,638,Force,10,Sharks,22,Bryce Lawrence,9,17
2009,639,Lions,25,Brumbies,17,Jonathan Kaplan,3,3
2009,640,Blues,22,NSW Waratahs,27,Craig Joubert,15,10
2009,641,Highlanders,36,Bulls,12,Vinny Munro,17,13
2009,642,Crusaders,11,Stormers,7,Keith Brown,11,17
2009,643,Reds,26,Chiefs,50,Ian Smith,15,17
2009,644,Sharks,35,Brumbies,14,Bryce Lawrence,13,9
2009,645,Lions,32,Hurricanes,38,Jonathan Kaplan,12,9
2009,646,Crusaders,16,Bulls,13,Craig Joubert,9,12
2009,647,Force,39,Reds,7,Stuart Dickinson,12,10
2009,649,Chiefs,36,Lions,29,Paul Marks,12,17
2009,651,Cheetahs,27,Brumbies,40,Matt Goddard,4,8
2009,648,Sharks,33,Hurricanes,17,Marius Jonker,3,6
2009,652,Blues,36,Lions,12,James Leckie,10,14
2009,653,Force,27,Hurricanes,28,Stuart Dickinson,17,7
2009,654,Highlanders,24,Reds,19,Craig Joubert,12,14
2009,655,Brumbies,17,Stormers,10,Paul Marks,12,16
2009,656,NSW Waratahs,6,Bulls,20,Jonathan Kaplan,9,23
2009,657,Cheetahs,31,Sharks,6,Nathan Pearce,11,14
2009,659,Brumbies,32,Bulls,31,Chris Pollock,8,12
2009,660,Hurricanes,34,Stormers,11,Jonathan Kaplan,21,12
2009,661,Reds,20,Lions,31,Keith Brown,9,17
2009,662,NSW Waratahs,14,Force,15,James Leckie,17,13
2009,663,Cheetahs,10,Chiefs,28,Nathan Pearce,10,12
2009,664,Sharks,10,Crusaders,13,Mark Lawrence,10,17
2009,665,Highlanders,11,Stormers,18,Matt Goddard,8,11
