name,category,category_id,venue_id,lat,long
Rooster Deli,American Restaurant,4bf58dd8d48988d14e941735,4d83b5759324236aa06caa0e,44.055436,-121.262453
Shari's Cafe and Pies,American Restaurant,4bf58dd8d48988d14e941735,4bae425df964a520c7993be3,44.020112,-121.317093
Badlands Kitchen & Brew,American Restaurant,4bf58dd8d48988d14e941735,52e1904311d2731c5847e151,44.0249806507407,-121.314003945126
Sunriver Brewing - Bend,American Restaurant,4bf58dd8d48988d14e941735,56c55b55cd106598ec3dda86,44.056484,-121.32696
River Pig Saloon,Bar,4bf58dd8d48988d116941735,5afcce3e492814002cbc6fcf,44.051208828581814,-121.31500673789475
Arby's,American Restaurant,4bf58dd8d48988d14e941735,4ce090203644a093efc4589f,44.0444317118974,-121.302923790178
Awbrey Glen Restaurant,American Restaurant,4bf58dd8d48988d14e941735,4ba58123f964a520870d39e3,44.079219818115234,-121.35063934326172
Sunny Yoga Kitchen,American Restaurant,4bf58dd8d48988d14e941735,5339bae4498e64c8f829a9fc,44.05899168624588,-121.35524332523345
Gatsby's Brasserie Bar,American Restaurant,4bf58dd8d48988d14e941735,4d5364392f638cfaaf54626a,44.058662766666664,-121.31410505
Awbrey Glen,New American Restaurant,4bf58dd8d48988d157941735,4c12e2c9583c9c7453563fa4,44.08092953225189,-121.34650994485659
Cabin 22 Bar & Grill,New American Restaurant,4bf58dd8d48988d157941735,535a8159498e12eef58b7ccf,44.05098750958667,-121.33216275408871
Washington,New American Restaurant,4bf58dd8d48988d157941735,57c6287e498e5274ec8b2f91,44.059248,-121.356363
The Grille at Crosswater,New American Restaurant,4bf58dd8d48988d157941735,51266fcdf136d990e69f70c4,43.87437057495117,-121.44558715820312
123 Ramen,Asian Restaurant,4bf58dd8d48988d142941735,589a2e3e469aef02a7e11ace,44.06337,-121.30434
Market Wok,Asian Restaurant,4bf58dd8d48988d142941735,5b315354ccad6b002cc8e2ab,44.05201,-121.313458
Double Happiness,Chinese Restaurant,4bf58dd8d48988d145941735,4b53cdb8f964a520d2ab27e3,44.05417612900391,-121.27154260597992
China Doll,Chinese Restaurant,4bf58dd8d48988d145941735,4b8733f3f964a5202ab631e3,44.055307,-121.26338600000001
Hong Kong Restaurant,Chinese Restaurant,4bf58dd8d48988d145941735,4bb7e8f6cf2fc9b6c2019f02,44.044435,-121.302178
Okawa Steak House & Sushi,Japanese Restaurant,4bf58dd8d48988d111941735,57cc8703498eb8c817bc28fd,44.03770847140282,-121.30324262542504
Teriyaki Madness,Japanese Restaurant,4bf58dd8d48988d111941735,5cafa050446ea6002c1f7115,44.056048,-121.265151
Deep Restaurant,Japanese Restaurant,4bf58dd8d48988d111941735,4f326fe519836c91c7d7b5c9,44.058563,-121.315076
Soba,Asian Restaurant,4bf58dd8d48988d142941735,54f3c21e498ec9c89effde24,44.058485393523604,-121.3125687543012
Sora Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,58e6d328ebf02864e2d73bb2,44.057012297222826,-121.31385093206893
Mio Sushi,Sushi Restaurant,4bf58dd8d48988d1d2941735,4e384d93149579ccbaf693b5,44.04700292332385,-121.31532703181603
Miyagi Ramen,Ramen Restaurant,55a59bace4b013909087cb24,5d1c2e1b7226a500238c0d38,44.050279,-121.315916
Juno Sushi,Japanese Restaurant,4bf58dd8d48988d111941735,521811ae498e9e5d89805480,44.04995395105451,-121.33253664529393
Sumi's,Sushi Restaurant,4bf58dd8d48988d1d2941735,4c37cfab18e72d7f2b5017f5,44.062889,-121.337602
Taste of Thailand,Thai Restaurant,4bf58dd8d48988d149941735,4c054e1073a8c9b66d4697e0,44.060268460259834,-121.2959373926035
Nam Tok,Thai Restaurant,4bf58dd8d48988d149941735,5c75a9f6ff0306002c5682c0,44.056878,-121.355987
The Tin Pig,BBQ Joint,4bf58dd8d48988d1df931735,5adba09d60255e5cc38718c1,44.051697,-121.315094
Country Catering,BBQ Joint,4bf58dd8d48988d1df931735,4ae202f6f964a520c48921e3,44.04476464330322,-121.29239183025571
